epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,458.263,0.93271,0.37403,0.8929,0.99862,1,0.995,0.97271,0.57963,0.25132,0.81235,0.000982864,0.000982864,0.000982864
86,463.814,0.87805,0.35438,0.89426,0.99796,1,0.995,0.97443,0.52797,0.24161,0.79343,0.000982456,0.000982456,0.000982456
87,469.023,0.90529,0.3656,0.89167,0.99423,0.99936,0.995,0.97146,0.50808,0.24347,0.80134,0.000982043,0.000982043,0.000982043
88,474.142,0.91804,0.36007,0.89779,0.99749,1,0.995,0.96969,0.54974,0.25091,0.80681,0.000981626,0.000981626,0.000981626
89,479.219,0.85261,0.35004,0.87144,0.99799,0.99998,0.995,0.97083,0.56201,0.24319,0.8102,0.000981204,0.000981204,0.000981204
90,484.305,0.89092,0.35689,0.89587,0.9975,0.99985,0.995,0.9752,0.52321,0.24019,0.79341,0.000980777,0.000980777,0.000980777
91,489.248,0.91614,0.35674,0.89424,0.98861,0.98785,0.99371,0.96618,0.56951,0.25188,0.79557,0.000980345,0.000980345,0.000980345
92,493.788,0.85784,0.3428,0.8777,0.99592,0.99884,0.995,0.97617,0.55733,0.23369,0.81035,0.000979909,0.000979909,0.000979909
93,498.548,0.92778,0.36546,0.89553,0.99857,1,0.995,0.97187,0.52915,0.24568,0.80672,0.000979468,0.000979468,0.000979468
94,503.616,0.88722,0.34806,0.88665,0.99893,1,0.995,0.96967,0.53928,0.22857,0.81406,0.000979023,0.000979023,0.000979023
95,509.1,0.84297,0.34482,0.8901,0.99744,1,0.995,0.96977,0.56755,0.23654,0.81094,0.000978572,0.000978572,0.000978572
96,514.059,0.9123,0.36416,0.88835,0.99803,1,0.995,0.9784,0.51746,0.22953,0.80315,0.000978118,0.000978118,0.000978118
97,519.422,0.85313,0.34105,0.89097,0.99822,1,0.995,0.97461,0.55138,0.23081,0.81733,0.000977658,0.000977658,0.000977658
98,524.454,0.84164,0.34273,0.87693,0.99825,1,0.995,0.97488,0.54804,0.22791,0.81341,0.000977194,0.000977194,0.000977194
99,529.543,0.90154,0.35669,0.90012,0.99808,1,0.995,0.96892,0.57053,0.2413,0.81063,0.000976725,0.000976725,0.000976725
100,534.66,0.85779,0.33673,0.88894,0.99605,0.99949,0.995,0.97012,0.53907,0.23929,0.79894,0.000976251,0.000976251,0.000976251
101,540.197,0.89204,0.34452,0.89814,0.99726,1,0.995,0.96077,0.55806,0.23332,0.80202,0.000975773,0.000975773,0.000975773
102,545.426,0.86297,0.35213,0.88084,0.99789,1,0.995,0.97063,0.55401,0.23969,0.81603,0.00097529,0.00097529,0.00097529
103,550.756,0.86998,0.35008,0.90228,0.99819,1,0.995,0.96602,0.54813,0.22985,0.80294,0.000974803,0.000974803,0.000974803
104,555.667,0.84718,0.34342,0.88392,0.99812,1,0.995,0.96796,0.56542,0.23983,0.81535,0.00097431,0.00097431,0.00097431
